repo	rank	instance_id	score	n_f2p	n_test_files	names_test
scikit-learn	28	scikit-learn__scikit-learn-26323	6.0	1	1	0
scikit-learn	29	scikit-learn__scikit-learn-9288	6.0	1	1	0
scikit-learn	30	scikit-learn__scikit-learn-13142	5.0	2	2	1
scikit-learn	31	scikit-learn__scikit-learn-14141	5.0	1	1	0
scikit-learn	32	scikit-learn__scikit-learn-25102	4.0	2	2	0
seaborn	1	mwaskom__seaborn-3069	6.0	2	1	0
seaborn	2	mwaskom__seaborn-3187	4.0	2	2	0
sphinx	1	sphinx-doc__sphinx-10435	7.0	1	1	1
sphinx	2	sphinx-doc__sphinx-9367	7.0	1	1	1
sphinx	3	sphinx-doc__sphinx-10323	6.0	1	1	0
sphinx	4	sphinx-doc__sphinx-10449	6.0	1	1	0
sphinx	5	sphinx-doc__sphinx-10466	6.0	1	1	0
sphinx	6	sphinx-doc__sphinx-10614	6.0	1	1	0
sphinx	7	sphinx-doc__sphinx-10673	6.0	1	1	0
sphinx	8	sphinx-doc__sphinx-11445	6.0	2	1	0
sphinx	9	sphinx-doc__sphinx-11510	6.0	2	1	0
sphinx	10	sphinx-doc__sphinx-7440	6.0	1	1	0
sphinx	11	sphinx-doc__sphinx-7454	6.0	1	1	0
sphinx	12	sphinx-doc__sphinx-7590	6.0	1	1	0
sphinx	13	sphinx-doc__sphinx-7757	6.0	1	1	0
sphinx	14	sphinx-doc__sphinx-7889	6.0	1	1	0
sphinx	15	sphinx-doc__sphinx-7910	6.0	1	1	0
sphinx	16	sphinx-doc__sphinx-7985	6.0	2	1	0
sphinx	17	sphinx-doc__sphinx-8035	6.0	1	1	0
sphinx	18	sphinx-doc__sphinx-8056	6.0	1	1	0
sphinx	19	sphinx-doc__sphinx-8120	6.0	1	1	0
sphinx	20	sphinx-doc__sphinx-8265	6.0	1	1	0
sphinx	21	sphinx-doc__sphinx-8269	6.0	1	1	0
sphinx	22	sphinx-doc__sphinx-8459	6.0	1	1	0
sphinx	23	sphinx-doc__sphinx-8475	6.0	1	1	0
sphinx	24	sphinx-doc__sphinx-8551	6.0	1	1	0
sphinx	25	sphinx-doc__sphinx-8593	6.0	2	1	0
sphinx	26	sphinx-doc__sphinx-8595	6.0	1	1	0
sphinx	27	sphinx-doc__sphinx-8621	6.0	2	1	0
sphinx	28	sphinx-doc__sphinx-8638	6.0	1	1	0
sphinx	29	sphinx-doc__sphinx-8721	6.0	1	1	0
sphinx	30	sphinx-doc__sphinx-9229	6.0	1	1	0
sphinx	31	sphinx-doc__sphinx-9230	6.0	1	1	0
sphinx	32	sphinx-doc__sphinx-9258	6.0	1	1	0
sphinx	33	sphinx-doc__sphinx-9281	6.0	1	1	0
sphinx	34	sphinx-doc__sphinx-9320	6.0	1	1	0
sphinx	35	sphinx-doc__sphinx-9591	6.0	1	1	0
sphinx	36	sphinx-doc__sphinx-9602	6.0	1	1	0
sphinx	37	sphinx-doc__sphinx-9658	6.0	1	1	0
sphinx	38	sphinx-doc__sphinx-9673	6.0	1	1	0
sphinx	39	sphinx-doc__sphinx-9698	6.0	1	1	0
sphinx	40	sphinx-doc__sphinx-9711	6.0	1	1	0
sphinx	41	sphinx-doc__sphinx-7748	5.0	2	1	0
sphinx	42	sphinx-doc__sphinx-8548	5.0	1	1	0
sphinx	43	sphinx-doc__sphinx-7462	4.0	2	2	0
sphinx	44	sphinx-doc__sphinx-9461	3.0	3	3	0
sympy	1	sympy__sympy-15599	7.0	1	1	1
sympy	2	sympy__sympy-23824	7.0	1	1	1
sympy	3	sympy__sympy-12096	6.0	1	1	0
sympy	4	sympy__sympy-12419	6.0	1	1	0
sympy	5	sympy__sympy-12481	6.0	1	1	0
sympy	6	sympy__sympy-12489	6.0	1	1	0
sympy	7	sympy__sympy-13031	6.0	1	1	0
sympy	8	sympy__sympy-13372	6.0	1	1	0
sympy	9	sympy__sympy-13480	6.0	1	1	0
sympy	10	sympy__sympy-13551	6.0	1	1	0
sympy	11	sympy__sympy-13647	6.0	1	1	0
sympy	12	sympy__sympy-13757	6.0	1	1	0
sympy	13	sympy__sympy-13798	6.0	1	1	0
sympy	14	sympy__sympy-13852	6.0	1	1	0
sympy	15	sympy__sympy-13877	6.0	1	1	0
sympy	16	sympy__sympy-13878	6.0	1	1	0
sympy	17	sympy__sympy-13974	6.0	1	1	0
sympy	18	sympy__sympy-14711	6.0	1	1	0
sympy	19	sympy__sympy-14976	6.0	1	1	0
sympy	20	sympy__sympy-15017	6.0	1	1	0
sympy	21	sympy__sympy-15349	6.0	1	1	0
sympy	22	sympy__sympy-15875	6.0	1	1	0
sympy	23	sympy__sympy-15976	6.0	1	1	0
sympy	24	sympy__sympy-16450	6.0	1	1	0
sympy	25	sympy__sympy-16766	6.0	1	1	0
sympy	26	sympy__sympy-16792	6.0	1	1	0
sympy	27	sympy__sympy-17318	6.0	1	1	0
sympy	28	sympy__sympy-18189	6.0	1	1	0
sympy	29	sympy__sympy-18211	6.0	1	1	0
sympy	30	sympy__sympy-18698	6.0	1	1	0
sympy	31	sympy__sympy-18763	6.0	1	1	0
sympy	32	sympy__sympy-19040	6.0	1	1	0
sympy	33	sympy__sympy-19346	6.0	1	1	0
sympy	34	sympy__sympy-19495	6.0	1	1	0
sympy	35	sympy__sympy-19954	6.0	1	1	0
sympy	36	sympy__sympy-20428	6.0	1	1	0
sympy	37	sympy__sympy-20590	6.0	1	1	0
sympy	38	sympy__sympy-20801	6.0	1	1	0
sympy	39	sympy__sympy-21379	6.0	1	1	0
sympy	40	sympy__sympy-21596	6.0	1	1	0
sympy	41	sympy__sympy-21612	6.0	1	1	0
sympy	42	sympy__sympy-21847	6.0	1	1	0
sympy	43	sympy__sympy-22714	6.0	1	1	0
sympy	44	sympy__sympy-22914	6.0	1	1	0
sympy	45	sympy__sympy-23262	6.0	1	1	0
sympy	46	sympy__sympy-23534	6.0	1	1	0
sympy	47	sympy__sympy-23950	6.0	1	1	0
sympy	48	sympy__sympy-24066	6.0	1	1	0
sympy	49	sympy__sympy-24213	6.0	1	1	0
sympy	50	sympy__sympy-24443	6.0	1	1	0
sympy	51	sympy__sympy-24539	6.0	1	1	0
sympy	52	sympy__sympy-11618	5.0	1	1	0
sympy	53	sympy__sympy-13615	5.0	1	1	0
sympy	54	sympy__sympy-15345	5.0	1	1	0
sympy	55	sympy__sympy-16886	5.0	1	1	0
sympy	56	sympy__sympy-17655	5.0	2	2	1
sympy	57	sympy__sympy-18199	5.0	1	1	0
sympy	58	sympy__sympy-19637	5.0	1	1	0
sympy	59	sympy__sympy-20916	5.0	1	1	0
sympy	60	sympy__sympy-22456	5.0	1	1	0
sympy	61	sympy__sympy-23413	5.0	1	1	0
sympy	62	sympy__sympy-24562	5.0	1	1	0
sympy	63	sympy__sympy-24661	5.0	1	1	0
sympy	64	sympy__sympy-13091	4.0	2	2	0
sympy	65	sympy__sympy-14248	4.0	2	2	0
sympy	66	sympy__sympy-14531	4.0	2	2	0
sympy	67	sympy__sympy-17139	4.0	2	2	0
sympy	68	sympy__sympy-17630	4.0	2	2	0
sympy	69	sympy__sympy-19783	4.0	2	2	0
sympy	70	sympy__sympy-20154	4.0	2	2	0
sympy	71	sympy__sympy-20438	4.0	2	2	0
sympy	72	sympy__sympy-15809	3.0	2	2	0
sympy	73	sympy__sympy-16597	3.0	3	3	0
sympy	74	sympy__sympy-21930	3.0	6	6	0
sympy	75	sympy__sympy-22080	3.0	3	3	0
xarray	1	pydata__xarray-4966	7.0	4	1	1
xarray	2	pydata__xarray-2905	6.0	1	1	0
xarray	3	pydata__xarray-3095	6.0	1	1	0
xarray	4	pydata__xarray-3151	6.0	1	1	0
xarray	5	pydata__xarray-3305	6.0	1	1	0
xarray	6	pydata__xarray-3677	6.0	1	1	0
xarray	7	pydata__xarray-3993	6.0	2	1	0
xarray	8	pydata__xarray-4075	6.0	2	1	0
xarray	9	pydata__xarray-4094	6.0	1	1	0
xarray	10	pydata__xarray-4356	6.0	8	1	0
xarray	11	pydata__xarray-4629	6.0	1	1	0
xarray	12	pydata__xarray-4687	6.0	1	1	0
xarray	13	pydata__xarray-4695	6.0	1	1	0
xarray	14	pydata__xarray-6461	6.0	1	1	0
xarray	15	pydata__xarray-6599	6.0	1	1	0
xarray	16	pydata__xarray-6744	6.0	3	1	0
xarray	17	pydata__xarray-6938	6.0	1	1	0
xarray	18	pydata__xarray-7229	6.0	1	1	0
xarray	19	pydata__xarray-7233	6.0	1	1	0
xarray	20	pydata__xarray-7393	6.0	2	1	0
xarray	21	pydata__xarray-6721	5.0	1	1	0
xarray	22	pydata__xarray-6992	3.0	12	3	0
