repo	rank	instance_id	score	n_f2p	n_test_files	names_test
sphinx	27	sphinx-doc__sphinx-8621	6.0	2	1	0
sphinx	28	sphinx-doc__sphinx-8638	6.0	1	1	0
sphinx	29	sphinx-doc__sphinx-8721	6.0	1	1	0
sphinx	31	sphinx-doc__sphinx-9230	6.0	1	1	0
sphinx	32	sphinx-doc__sphinx-9258	6.0	1	1	0
sphinx	33	sphinx-doc__sphinx-9281	6.0	1	1	0
sphinx	34	sphinx-doc__sphinx-9320	6.0	1	1	0
sphinx	35	sphinx-doc__sphinx-9591	6.0	1	1	0
sphinx	36	sphinx-doc__sphinx-9602	6.0	1	1	0
sphinx	37	sphinx-doc__sphinx-9658	6.0	1	1	0
sphinx	39	sphinx-doc__sphinx-9698	6.0	1	1	0
sphinx	40	sphinx-doc__sphinx-9711	6.0	1	1	0
sphinx	42	sphinx-doc__sphinx-8548	5.0	1	1	0
sphinx	43	sphinx-doc__sphinx-7462	4.0	2	2	0
sphinx	44	sphinx-doc__sphinx-9461	3.0	3	3	0
sympy	1	sympy__sympy-15599	7.0	1	1	1
sympy	2	sympy__sympy-23824	7.0	1	1	1
sympy	3	sympy__sympy-12096	6.0	1	1	0
sympy	5	sympy__sympy-12481	6.0	1	1	0
sympy	6	sympy__sympy-12489	6.0	1	1	0
sympy	7	sympy__sympy-13031	6.0	1	1	0
sympy	8	sympy__sympy-13372	6.0	1	1	0
sympy	9	sympy__sympy-13480	6.0	1	1	0
sympy	10	sympy__sympy-13551	6.0	1	1	0
sympy	11	sympy__sympy-13647	6.0	1	1	0
sympy	12	sympy__sympy-13757	6.0	1	1	0
sympy	13	sympy__sympy-13798	6.0	1	1	0
sympy	15	sympy__sympy-13877	6.0	1	1	0
sympy	16	sympy__sympy-13878	6.0	1	1	0
sympy	17	sympy__sympy-13974	6.0	1	1	0
sympy	19	sympy__sympy-14976	6.0	1	1	0
sympy	20	sympy__sympy-15017	6.0	1	1	0
sympy	21	sympy__sympy-15349	6.0	1	1	0
sympy	22	sympy__sympy-15875	6.0	1	1	0
sympy	23	sympy__sympy-15976	6.0	1	1	0
sympy	24	sympy__sympy-16450	6.0	1	1	0
sympy	25	sympy__sympy-16766	6.0	1	1	0
sympy	26	sympy__sympy-16792	6.0	1	1	0
sympy	27	sympy__sympy-17318	6.0	1	1	0
sympy	28	sympy__sympy-18189	6.0	1	1	0
sympy	29	sympy__sympy-18211	6.0	1	1	0
sympy	30	sympy__sympy-18698	6.0	1	1	0
sympy	31	sympy__sympy-18763	6.0	1	1	0
sympy	32	sympy__sympy-19040	6.0	1	1	0
sympy	33	sympy__sympy-19346	6.0	1	1	0
sympy	34	sympy__sympy-19495	6.0	1	1	0
sympy	35	sympy__sympy-19954	6.0	1	1	0
sympy	38	sympy__sympy-20801	6.0	1	1	0
sympy	39	sympy__sympy-21379	6.0	1	1	0
sympy	40	sympy__sympy-21596	6.0	1	1	0
sympy	41	sympy__sympy-21612	6.0	1	1	0
sympy	42	sympy__sympy-21847	6.0	1	1	0
sympy	43	sympy__sympy-22714	6.0	1	1	0
sympy	44	sympy__sympy-22914	6.0	1	1	0
sympy	45	sympy__sympy-23262	6.0	1	1	0
sympy	46	sympy__sympy-23534	6.0	1	1	0
sympy	47	sympy__sympy-23950	6.0	1	1	0
sympy	48	sympy__sympy-24066	6.0	1	1	0
sympy	49	sympy__sympy-24213	6.0	1	1	0
sympy	50	sympy__sympy-24443	6.0	1	1	0
sympy	51	sympy__sympy-24539	6.0	1	1	0
sympy	52	sympy__sympy-11618	5.0	1	1	0
sympy	53	sympy__sympy-13615	5.0	1	1	0
sympy	54	sympy__sympy-15345	5.0	1	1	0
sympy	55	sympy__sympy-16886	5.0	1	1	0
sympy	56	sympy__sympy-17655	5.0	2	2	1
sympy	57	sympy__sympy-18199	5.0	1	1	0
sympy	58	sympy__sympy-19637	5.0	1	1	0
sympy	59	sympy__sympy-20916	5.0	1	1	0
sympy	60	sympy__sympy-22456	5.0	1	1	0
sympy	61	sympy__sympy-23413	5.0	1	1	0
sympy	62	sympy__sympy-24562	5.0	1	1	0
sympy	63	sympy__sympy-24661	5.0	1	1	0
sympy	64	sympy__sympy-13091	4.0	2	2	0
sympy	65	sympy__sympy-14248	4.0	2	2	0
sympy	66	sympy__sympy-14531	4.0	2	2	0
sympy	67	sympy__sympy-17139	4.0	2	2	0
sympy	68	sympy__sympy-17630	4.0	2	2	0
sympy	69	sympy__sympy-19783	4.0	2	2	0
sympy	73	sympy__sympy-16597	3.0	3	3	0
sympy	74	sympy__sympy-21930	3.0	6	6	0
sympy	75	sympy__sympy-22080	3.0	3	3	0
